Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,20032026,2294600616,0003197
Trade Date <20-MAR-2026>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,0MOFSL26,N1,237,237,100.00
20,2,1003IIFL29,NC,19,19,100.00
20,3,1003ISFL28,N4,209,209,100.00
20,4,1003SCL30A,NV,122,100,81.97
20,5,1015ECL29,NR,69,69,100.00
20,6,1018GS2026,GS,6331,6331,100.00
20,7,1025IIFL30,Y3,140,140,100.00
20,8,1025SCL34,Z8,5,5,100.00
20,9,1025SCL35A,N1,6,6,100.00
20,10,1025UCL26A,N1,2,2,100.00
20,11,1040NFL26,NA,99,99,100.00
20,12,1040UCL27B,N1,96,96,100.00
20,13,1050ISFL28,N5,109,109,100.00
20,14,1050NFL26,N7,346,346,100.00
20,15,1050SCL31,ZP,1,1,100.00
20,16,1050UCL28,NH,307,307,100.00
20,17,105IIFL29,N7,90,90,100.00
20,18,1065NFL27,NC,60,60,100.00
20,19,1075WCA28,N0,13,13,100.00
20,20,10CAGL27,N5,166,166,100.00
20,21,10IIFL28,N4,244,244,100.00
20,22,10IIFL28A,NE,251,251,100.00
20,23,10IIFL29,N6,27,27,100.00
20,24,10ISFL26,N3,100,100,100.00
20,25,10NIDO26,N6,180,180,100.00
20,26,1102NFL26,N8,1,1,100.00
20,27,1119NFL27,ND,1,1,100.00
20,28,115VCCL27,N0,2,2,100.00
20,29,1225IFL27,N0,1,1,100.00
20,30,125VCCL31,N0,4,4,100.00
20,31,12AFIL27A,N0,1,1,100.00
20,32,12AFIL28,N0,11,11,100.00
20,33,12VCCL27A,N0,2,2,100.00
20,34,12VCCL27D,N0,2,2,100.00
20,35,182D030426,TB,200,200,100.00
20,36,182D260326,TB,76200,76200,100.00
20,37,20MICRONS,EQ,110174,46634,42.33
20,38,21STCENMGM,EQ,4264,4144,97.19
20,39,360ONE,EQ,413078,229421,55.54
20,40,364D020426,TB,200,200,100.00
