"Security Name","Symbol Name","Trade Date","Quantity"
"PRAJ INDUSTRIES LTD","PRAJIND","19-Mar-2026","2"
"AARTI INDUSTRIES LTD","AARTIIND","19-Mar-2026","674"
"ARVIND FASHIONS LIMITED","ARVINDFASN","19-Mar-2026","61"
"ASK AUTOMOTIVE LIMITED","ASKAUTOLTD","19-Mar-2026","111"
"BEML LIMITED","BEML","19-Mar-2026","5"
"BIKAJI FOODS INTERN LTD","BIKAJI","19-Mar-2026","123"
"BLS INTL SERVS LTD","BLS","19-Mar-2026","469"
"CARBORUNDUM UNIVERSAL LTD    ","CARBORUNIV","19-Mar-2026","169"
"CARTRADE TECH LIMITED","CARTRADE","19-Mar-2026","62"
"CUPID LIMITED","CUPID","19-Mar-2026","12067"
"CYIENT LIMITED           ","CYIENT","19-Mar-2026","21"
"ECLERX SERVICES LTD ","ECLERX","19-Mar-2026","577"
"ELECON ENG. CO. LTD","ELECON","19-Mar-2026","9"
"FDC LIMITED","FDC","19-Mar-2026","6"
"GRAVITA INDIA LIMITED","GRAVITA","19-Mar-2026","139"
"BILLIONBRAINS GARAGE VN L","GROWW","19-Mar-2026","11490"
"HINDUSTAN COPPER LIMITED","HINDCOPPER","19-Mar-2026","609"
"KRISHNA INST OF MED SCI L","KIMS","19-Mar-2026","114"
"KIRLOSKAR BROTHERS LTD","KIRLOSBROS","19-Mar-2026","35"
"Kalpataru Project In","KPIL","19-Mar-2026","44"
"KRN HEAT EXCHANGE N REF L","KRN","19-Mar-2026","90"
"L&T TECHNOLOGY SER. LTD","LTTS","19-Mar-2026","107"
"ABB POWER PRO N SYS IND L","POWERINDIA","19-Mar-2026","100"
"PTC INDUSTRIES LIMITED","PTCIL","19-Mar-2026","1"
"RELAXO FOOT LTD","RELAXO","19-Mar-2026","1293"
"SAGILITY INDIA LIMITED","SAGILITY","19-Mar-2026","29258"
"THE SOUTH INDIAN BANK LTD","SOUTHBANK","19-Mar-2026","8043"
"TANLA PLATFORMS LIMITED","TANLA","19-Mar-2026","1646"
"TD POWER SYSTEMS LTD.","TDPOWERSYS","19-Mar-2026","424"
"UJJIVAN SMALL FINANC BANK","UJJIVANSFB","19-Mar-2026","46816"
"VARROC ENGINEERING LTD.","VARROC","19-Mar-2026","634"
"WEWORK INDIA MANAGEMENT L","WEWORK","19-Mar-2026","53"
"BANK OF BARODA","BANKBARODA","19-Mar-2026","3520"
"MAZAGON DOCK SHIPBUIL LTD","MAZDOCK","19-Mar-2026","151"
"ETERNAL LIMITED","ETERNAL","19-Mar-2026","1"
"ASIAN PAINTS LIMITED","ASIANPAINT","19-Mar-2026","501"
"YES BANK LIMITED","YESBANK","19-Mar-2026","82"
"BHARAT ELECTRONICS LTD","BEL","19-Mar-2026","1488"
"NMDC LTD.","NMDC","19-Mar-2026","6750"
"WAAREE ENERGIES LIMITED","WAAREEENER","19-Mar-2026","292"
"KARUR VYSYA BANK LIMITED","KARURVYSYA","19-Mar-2026","1"
"FORTIS HEALTHCARE (I) LTD","FORTIS","19-Mar-2026","100"
